SKU,Description,Retail,Wholesale,InStock,BrandCode,BrandName,Status,UPC,Closeout,Image
"SWW-357-N            ","Tactical Watch, Tritium, 45 mm, Black with Nylon Strap","189.000000","94.500000","97.000000","SWW","Swiss Tritium","Active","024718135731","","SWW-357-N.jpg"
"SWW-357-R            ","Diver Watch, Tritium, 45 mm, Black with Rubber Strap","189.000000","94.500000","299.000000","SWW","Swiss Tritium","Active","024718135748","","SWW-357-R.jpg"
"SWW-357-R            ","Diver Watch, Tritium, 45 mm, Black with Rubber Strap","189.000000","94.500000","299.000000","SWW","Smith & Wesson","Active","024718135748","","SWW-357-R.jpg"
"SWW-357-SS           ","Aviator watch, Tritium, 45 mm, Stainless steel","219.000000","109.500000","42.000000","SWW","Smith & Wesson","Active","024718135724","","SWW-357-SS.jpg"
"SWW-357-SS           ","Aviator watch, Tritium, 45 mm, Stainless steel","219.000000","109.500000","42.000000","SWW","Swiss Tritium","Active","024718135724","","SWW-357-SS.jpg"
"SWW-357-T-BLK        ","Executive Watch - Tritium, 45 mm, Titanium, Black face","379.000000","189.500000","200.000000","SWW","Swiss Tritium","Active","024718135717","","SWW-357-T-BLK.jpg"
"SWW-357-T-BLK        ","Executive Watch - Tritium, 45 mm, Titanium, Black face","379.000000","189.500000","200.000000","SWW","Smith & Wesson","Active","024718135717","","SWW-357-T-BLK.jpg"
"SWW-36-BLK           ","Carabiner Classic - LED Light, Watch, Black","35.000000","17.500000","29.000000","SWW","Smith & Wesson","Active","024718136035","","SWW-36-BLK.jpg"
"SWW-36-SLV           ","Carabiner Classic - LED Light, Watch, Silver","35.000000","17.500000","142.000000","SWW","Smith & Wesson","Active","024718136134","","SWW-36-SLV.jpg"
"SWW-369-GR           ","Cadet","60.000000","30.000000","252.000000","SWW","Smith & Wesson","Active","024718511986","","SWW-369-GR.jpg"
"SWW-369-OR           ","Cadet","60.000000","30.000000","262.000000","SWW","Smith & Wesson","Active","024718511993","","SWW-369-OR.jpg"
"SWW-397-BL           ","Trooper","60.000000","30.000000","31.000000","SWW","Smith & Wesson","Active","024718512006","","SWW-397-BL.jpg"
"SWW-397-OR           ","Trooper","60.000000","30.000000","151.000000","SWW","Smith & Wesson","Active","024718512020","","SWW-397-OR.jpg"
"SWW-397-WH           ","Trooper","60.000000","30.000000","238.000000","SWW","Smith & Wesson","Active","024718512013","","SWW-397-WH.jpg"
"SWW-397-YW           ","Trooper","60.000000","30.000000","41.000000","SWW","Smith & Wesson","Active","024718512037","","SWW-397-YW.jpg"
"SWW-45               ","SWAT Watch - Back Glow, Rubber Band","60.000000","30.000000","195.000000","SWW","Smith & Wesson","Active","024718145037","","SWW-45.jpg"
"SWW-450-BLK          ","TRITIUM WATCH H3 NYLON&RUBBER STRAP","175.000000","87.500000","","SWW","Smith & Wesson","Active","024718145013","","SWW-450-BLK.jpg"
"SWW-450-BLK          ","TRITIUM WATCH H3 NYLON&RUBBER STRAP","175.000000","87.500000","","SWW","Swiss Tritium","Active","024718145013","","SWW-450-BLK.jpg"
"SWW-455-EMT          ","EMT Watch - Back Glow, Nylon Strap","60.000000","30.000000","665.000000","SWW","Smith & Wesson","Active","024718145587","","SWW-455-EMT.jpg"
"SWW-455F             ","Fire Fighter Watch - Back Glow, Nylon Strap","60.000000","30.000000","479.000000","SWW","Smith & Wesson","Active","024718145594","","SWW-455F.jpg"
"SWW-455P             ","Police Watch - Back Glow, Nylon Strap","60.000000","30.000000","645.000000","SWW","Smith & Wesson","Active","024718145556","","SWW-455P.jpg"
"SWW-45M              ","SWAT Watch - Back Glow, Metal Band","70.000000","35.000000","188.000000","SWW","Smith & Wesson","Active","024718145020","","SWW-45M.jpg"
"SWW-582-OR           ","Scout","60.000000","30.000000","260.000000","SWW","Smith & Wesson","Active","024718512044","","SWW-582-OR.jpg"
"SWW-582-WH           ","Scout","60.000000","30.000000","251.000000","SWW","Smith & Wesson","Active","024718512051","","SWW-582-WH.jpg"
"SWW-584-BK           ","Mechanic","60.000000","30.000000","141.000000","SWW","Smith & Wesson","Active","024718512068","","SWW-584-BK.jpg"
"SWW-5982             ","COMMANDO NYLON BAND","60.000000","30.000000","212.000000","SWW","Smith & Wesson","Active","024718159829","","SWW-5982.jpg"
"SWW-5983             ","PARATROOPER  WATCH W/RUBBER BAND","60.000000","30.000000","363.000000","SWW","Smith & Wesson","Active","024718159836","","SWW-5983.jpg"
"SWW-6063             ","CIVILIAN WITH LEATHER STRAP","60.000000","30.000000","","SWW","Smith & Wesson","Active","024718160634","","SWW-6063.jpg"
"SWW-877-BL           ","Calibrator","60.000000","30.000000","382.000000","SWW","Smith & Wesson","Active","024718511948","","SWW-877-BL.jpg"
"SWW-877-OR           ","Calibrator","60.000000","30.000000","74.000000","SWW","Smith & Wesson","Active","024718511955","","SWW-877-OR.jpg"
"SWW-877-WH           ","Calibrator","60.000000","30.000000","151.000000","SWW","Smith & Wesson","Active","024718511962","","SWW-877-WH.jpg"
"SWW-877-YW           ","Calibrator","60.000000","30.000000","401.000000","SWW","Smith & Wesson","Active","024718511979","","SWW-877-YW.jpg"
"SWW-88-B             ","Emissary, Tritium, Black Stainless Steel and zulu strap","310.000000","155.000000","230.000000","SWW","Smith & Wesson","Active","024718100371","","SWW-88-B.jpg"
"SWW-88-B             ","Emissary, Tritium, Black Stainless Steel and zulu strap","310.000000","155.000000","230.000000","SWW","Swiss Tritium","Active","024718100371","","SWW-88-B.jpg"
"SWW-88-S             ","Emissary, Tritium, Stainless Steel w/ spare Leather Strap","310.000000","155.000000","143.000000","SWW","Swiss Tritium","Active","024718100388","","SWW-88-S.jpg"
"SWW-88-S             ","Emissary, Tritium, Stainless Steel w/ spare Leather Strap","310.000000","155.000000","143.000000","SWW","Smith & Wesson","Active","024718100388","","SWW-88-S.jpg"
"SWW-900-BLK          ","Diver Black with Tritium, Metal and Rubber Strap","130.000000","65.000000","277.000000","SWW","Smith & Wesson","Active","024718100623","","SWW-900-BLK.jpg"
"SWW-900-BLK          ","Diver Black with Tritium, Metal and Rubber Strap","130.000000","65.000000","277.000000","SWW","Swiss Tritium","Active","024718100623","","SWW-900-BLK.jpg"
"SWW-900-BLU          ","Diver Blue with Tritium, Metal and Rubber Strap","130.000000","65.000000","241.000000","SWW","Swiss Tritium","Active","024718100630","","SWW-900-BLU.JPG"
"SWW-900-BLU          ","Diver Blue with Tritium, Metal and Rubber Strap","130.000000","65.000000","241.000000","SWW","Smith & Wesson","Active","024718100630","","SWW-900-BLU.JPG"
"SWW-900-OR           ","Diver Orange with Tritium, Metal and Rubber Strap","130.000000","65.000000","126.000000","SWW","Smith & Wesson","Active","024718100647","","SWW-900-OR.JPG"
"SWW-900-OR           ","Diver Orange with Tritium, Metal and Rubber Strap","130.000000","65.000000","126.000000","SWW","Swiss Tritium","Active","024718100647","","SWW-900-OR.JPG"
"SWW-GRH-1            ","Mumbai Lamplighter, Tritium, with Leather Strap","130.000000","65.000000","159.000000","SWW","Swiss Tritium","Active","024718100395","","SWW-GRH-1.jpg"
"SWW-GRH-1            ","Mumbai Lamplighter, Tritium, with Leather Strap","130.000000","65.000000","159.000000","SWW","Smith & Wesson","Active","024718100395","","SWW-GRH-1.jpg"
"SWW-MP18-BLK         ","Military & Police watch, Swiss tritium, Black","120.000000","60.000000","136.000000","SWW","Smith & Wesson","Active","024718100838","","SWW-MP18-BLK.jpg"
"SWW-MP18-BLK         ","Military & Police watch, Swiss tritium, Black","120.000000","60.000000","136.000000","SWW","Swiss Tritium","Active","024718100838","","SWW-MP18-BLK.jpg"
"SWW-MP18-GRY         ","Military & Police watch, Swiss tritium, Gray","120.000000","60.000000","305.000000","SWW","Swiss Tritium","Active","024718100845","","SWW-MP18-GRY.jpg"
"SWW-MP18-GRY         ","Military & Police watch, Swiss tritium, Gray","120.000000","60.000000","305.000000","SWW","Smith & Wesson","Active","024718100845","","SWW-MP18-GRY.jpg"
"UZI-001-M            ","PROTECTOR TRITIUM WATCH METAL STRAP","129.990000","65.000000","81.000000","UZI","Swiss Tritium","Active","024718900100","","UZI-001-M.jpg"
"UZI-001-M            ","PROTECTOR TRITIUM WATCH METAL STRAP","129.990000","65.000000","81.000000","UZI","Uzi","Active","024718900100","","UZI-001-M.jpg"
"UZI-001-N            ","Protector Watch - Tritium, Black Face, Nylon Strap","119.990000","60.000000","361.000000","UZI","Uzi","Active","024718900131","","UZI-001-N.jpg"
"UZI-001-N            ","Protector Watch - Tritium, Black Face, Nylon Strap","119.990000","60.000000","361.000000","UZI","Swiss Tritium","Active","024718900131","","UZI-001-N.jpg"
"UZI-001-R            ","Protector Watch - Tritium, Black Face, Rubber Strap","119.990000","60.000000","356.000000","UZI","Swiss Tritium","Active","024718900148","","UZI-001-R.jpg"
"UZI-001-R            ","Protector Watch - Tritium, Black Face, Rubber Strap","119.990000","60.000000","356.000000","UZI","Uzi","Active","024718900148","","UZI-001-R.jpg"
"UZI-18B              ","Ballistic Chronograph with NATO, Zulu and Rubber Strap","300.000000","150.000000","339.000000","UZI","Uzi","Active","024718900377","","UZI-18B.jpg"
"UZI-18B              ","Ballistic Chronograph with NATO, Zulu and Rubber Strap","300.000000","150.000000","339.000000","UZI","Swiss Tritium","Active","024718900377","","UZI-18B.jpg"
"UZI-89-N             ","Guardian Watch - Digital, Nylon Strap","45.000000","22.500000","1000.000000","UZI","Uzi","Active","024718908939","","UZI-89-N.jpg"
"UZI-89-R             ","Guardian Watch - Digital, Rubber Strap","45.000000","22.500000","838.000000","UZI","Uzi","Active","024718908946","","UZI-89-R.jpg"
"UZI-CUFFCASE         ","UZI Handcuff Case - Metal Clip, Key Holder","11.500000","5.750000","2136.000000","UZI","Uzi","Active","024718900032","","UZI-CUFFCASE.jpg"
"UZI-CUTTER-1         ","UZI Emergency Seat Belt Cutter","40.000000","20.000000","1087.000000","UZI","Uzi","Active","024718510880","","UZI-CUTTER-1.jpg"
"UZI-EXB-16           ","16-Inch Expandable Baton","39.500000","19.750000","213.000000","UZI","Uzi","Active","024718900179","","UZI-EXB-16.jpg"
"UZI-EXB-21           ","21-Inch Expandable Baton","43.000000","21.500000","206.000000","UZI","Uzi","Active","024718900186","","UZI-EXB-21.jpg"
"UZI-FLXC-B           ","Black Flex Cuff","5.500000","2.750000","2517.000000","UZI","Uzi","Active","024718001197","","UZI-FLXC-B.jpg"
"UZI-FLXC-GR          ","Green Flex Cuff","5.500000","2.750000","1349.000000","UZI","Uzi","Active","024718001203","","UZI-FLXC-GR.jpg"
"UZI-FLXC-TAN         ","Tan Flex Cuff","5.500000","2.750000","1149.000000","UZI","Uzi","Active","024718001210","","UZI-FLXC-TAN.jpg"
"UZI-FLXC-TRAINER-BL  ","Blue Trainer Flex Cuff","8.000000","4.000000","924.000000","UZI","Uzi","Active","024718001227","","UZI-FLXC-TRAINER-BL.jpg"
"UZI-FLXC-YW          ","Yellow Flex Cuff","5.500000","2.750000","1265.000000","UZI","Uzi","Active","024718001234","","UZI-FLXC-YW.jpg"
"UZI-HC-C-B           ","UZI HANDCUFF CHAIN","19.000000","9.500000","1292.000000","UZI","Uzi","Active","024718000046","","UZI-HC-C-B.jpg"
"UZI-HC-C-PINK        ","UZI HANCUFF CHAIN PINK","20.000000","10.000000","685.000000","UZI","Uzi","Active","024718926155","","UZI-HC-C-PINK.jpg"
"UZI-HC-C-S           ","UZI-HANDCUFF CHAIN","19.000000","9.500000","2394.000000","UZI","Uzi","Active","024718000056","","UZI-HC-C-S.jpg"
"UZI-HC-H-B           ","UZI HANDCUFF HINGED DOUBLE-LOCK","37.000000","18.500000","387.000000","UZI","Uzi","Active","024718000077","","UZI-HC-H-B.jpg"
"UZI-HC-H-S           ","UZI HANDCUFF HINGED DOUBLE- LOCK","37.000000","18.500000","380.000000","UZI","Uzi","Active","024718000060","","UZI-HC-H-S.jpg"
"UZI-HC-LEG           ","UZI NICKEL FINISH IRONS","40.000000","20.000000","174.000000","UZI","Uzi","Active","024718926148","","UZI-HC-LEG.jpg"
"UZI-HC-PRO-B         ","UZI PROFESSIONAL HANDCUFF","31.000000","15.500000","1498.000000","UZI","Uzi","Active","024718900261","","UZI-HC-PRO-B.jpg"
"UZI-HC-PRO-S         ","UZI PROFESSIONAL HANDCUFF stainless steel","31.000000","15.500000","3858.000000","UZI","Uzi","Active","024718900254","","UZI-HC-PRO-S.JPG"
"UZI-HHSC-1           ","UZI Handheld Metal Detector","119.900000","59.950000","693.000000","UZI","Uzi","Active","024718900155","","UZI-HHSC-1.jpg"
"UZI-KEY-119          ","DISC. UZI  Window Punch Pocket handcuff key","8.940000","4.470000","337.000000","UZI","Uzi","Active","024718550091","","UZI-KEY-119.jpg"
"UZI-KEY-211          ","UZI POCKET KEY","6.940000","3.470000","555.000000","UZI","Uzi","Active","024718900025","","UZI-KEY-211.jpg"
"UZI-KEY-PAIR         ","UZI-KEY SET OF TWO","4.000000","2.000000","1604.000000","UZI","Uzi","Active","024718926490","","UZI-KEY-PAIR.jpg"
"UZI-KEY-PR24         ","UZI PR24 STYLE HANDCUFF KEY","6.940000","3.470000","733.000000","UZI","Uzi","Active","024718000107","","UZI-KEY-PR24.jpg"
"UZI-KEY-ROTATE       ","UZI ROTATING KEY","6.940000","3.470000","","UZI","Uzi","Active","024718000114","","UZI-KEY-ROTATE.jpg"
"UZI-KEY-SPRING       ","UZI Window Spring Punch handcuff key w/pocket clip","9.940000","4.970000","1553.000000","UZI","Uzi","Active","024718510965","","UZI-KEY-SPRING.jpg"
"UZI-KEY-WAFFLE       ","DISC. UZI Waffle Style Handcuff Key","8.940000","4.470000","26.000000","UZI","Uzi","Active","024718510507","","UZI-KEY-WAFFLE.jpg"
"UZI-MP-204R          ","UZI 15 Watt Megaphone","30.000000","15.000000","501.000000","UZI","Uzi","Active","024718900070","","UZI-MP-204R.jpg"
"UZI-MP-50W           ","UZI 50 Watt Megaphone","64.000000","32.000000","1284.000000","UZI","Uzi","Active","024718900209","","UZI-MP-50W.jpg"
"UZI-NV-100           ","Night Vision Monocular, 8gb SD","218.000000","109.000000","162.000000","UZI","Uzi","Active","024718511016","","UZI-NV-100.jpg"
"UZI-OD-1             ","UZI Observation Device","58.000000","29.000000","698.000000","UZI","Uzi","Active","024718900124","","UZI-OD-1.jpg"
"UZI-PA-1             ","UZI Personal Alarm","14.980000","7.490000","646.000000","UZI","Uzi","Active","024718926070","","UZI-PA-1.jpg"
"UZI-PERISCOPE        ","UZI Periscope","90.000000","45.000000","403.000000","UZI","Uzi","Active","024718920702","","UZI-PERISCOPE.jpg"
"UZI-RSTNT-5BK        ","Riot Cuff Restraints 5 pack Black","15.000000","7.500000","1477.000000","UZI","Uzi","Active","024718511450","","UZI-RSTNT-5BK.jpg"
"UZI-RSTNT-5WH        ","Riot Cuff Restraints 5 pack White","15.000000","7.500000","1946.000000","UZI","Uzi","Active","024718511467","","UZI-RSTNT-5WH.jpg"
"UZI-SG-2MPIN         ","UZI Safety Lanyard 2m","0.000000","0.690000","","UZI","Uzi","Active","","","Campco.jpg"
"UZI-TACPAK-1         ","Tactical Gift Pack, knife, led light and tactical pen","50.000000","25.000000","1018.000000","UZC","Uzi","Active","024718510156","","UZI-TACPAK-1-CASE.jpg"
"UZI-TFLP2-COMBO      ","TACTICAL GLASSBREAKER PEN & FLASHLIGHT COMBO SET BLACK","50.000000","25.000000","373.000000","UZC","Uzi","Active","024718926216","","UZI-TFLP2-COMBO.jpg"
"UZI-TPW-COMBO        ","Tactical Pen and Watch","35.000000","17.500000","","UZC","Uzi","Active","024718900353","","UZI-TPW-COMBO.JPG"
"UZI-W-725            ","Digital Sport Watch 12/24 Hr time,Alarm,Date,Chrono backlight","20.000000","10.000000","535.000000","UZI","Uzi","Active","024718926407","","UZI-W-725.jpg"
"UZI-W-796            ","Digital Sport Watch 12/24 Hr time,Alarm,Date,Chrono backlight","20.000000","10.000000","273.000000","UZI","Uzi","Active","024718926384","","UZI-W-796.jpg"
"UZI-W-799            ","DIGITAL WATCH 799","20.000000","10.000000","2358.000000","UZI","Uzi","Active","024718520063","","UZI-W-799.jpg"
"UZI-W-801            ","Digital Sport Watch 12/24 Hr time,Alarm,Date,Chrono backlight","20.000000","10.000000","582.000000","UZI","Uzi","Active","024718926391","","UZI-W-801.jpg"
"UZK-AXE-2            ","Masada Ax, with nylon sheath","49.950000","24.980000","316.000000","UZK","Uzi","Active","024718510187","","UZK-AXE-2.jpg"
"UZK-AXE-4            ","Zaka Axe 8" SS Blade w/Stone washed Finish, Kydex Sheath","49.950000","24.980000","171.000000","UZK","Uzi","Active","024718510514","","UZK-AXE-4.jpg"
"UZK-AXE-5            ","UZI Throwing Axe, black with blk paracord on handle, blister","24.950000","12.500000","853.000000","UZK","Uzi","Active","024718511238","","UZK-AXE-5.jpg"
"UZK-AXE-6            ","UZI Throwing Axe Combo, black with nylon sheath, blister","30.000000","15.000000","814.000000","UZK","Uzi","Active","024718511245","","UZK-AXE-6.jpg"
"UZK-FDR-006          ","UZI Responder VI, Black SS Plain Blade, Black G10 Handle","25.000000","12.500000","891.000000","UZK","Uzi","Active","024718926704","","uzk-fdr-006.jpg"
"UZK-FDR-007          ","UZI Responder VII, Blk Serr SS Blade, Aluminum Handle","25.000000","12.500000","466.000000","UZK","Uzi","Active","024718926759","","UZK-FDR-007.jpg"
"UZK-FDR-009          ","Covert Black Plain SS Blade, Blk and Gray Aluminum Handle","25.000000","12.500000","1087.000000","UZK","Uzi","Active","024718926766","","UZK-FDR-009.jpg"
"UZK-FDR-010          ","Zaka Micro Rescue, SS Blade, Anodized Blk Aluminum handle","25.000000","12.500000","497.000000","UZK","Uzi","Active","024718926711","","UZK-FDR-010.jpg"
"UZK-FDR-014          ","Mossad III, Spring Assisted Blk and Silver Blade, G10 Handle","25.000000","12.500000","423.000000","UZK","Uzi","Active","","","UZK-FDR-014.jpg"
"UZK-FDR-015          ","Black Shaddow 1/3 serrated Blade,  G10 handle","25.000000","12.500000","544.000000","UZK","Uzi","Active","","","UZK-FDR-015.jpg"
"UZK-FDR-016          ","EVN Stone Wash I, spring assist 3.75" Blade, blk G10 Handle","25.000000","12.500000","639.000000","UZK","Uzi","Active","024718510163","","UZK-FDR-016(2).jpg"
"UZK-FDR-017          ","EVN Stone Wash, spring assist 4.5" Blade, Black G10 Handle","25.000000","12.500000","877.000000","UZK","Uzi","Active","024718510170","","UZK-FDR-017(2).jpg"
"UZK-FDR-018          ","Steel-etto, Stone Wash Steel spring assist.","25.000000","12.500000","340.000000","UZK","Uzi","Active","024718510255","","UZK-FDR-018.jpg"
"UZK-FDR-022          ","UZI Mini Stonewash Folder, Serrated","25.000000","12.500000","804.000000","UZK","Uzi","Active","024718101491","","UZK-FDR-022.jpg"
"UZK-FDR-023          ","EVN Stone Wash III, 4.5" Blade, clear G10 Handle","25.000000","12.500000","742.000000","UZK","Uzi","Active","024718510781","","UZK-FDR-023.jpg"
"UZK-FDR-024          ","EVN Stone Wash IV, spring assist 4.75" Blade, blk G10 Handle","25.000000","12.500000","782.000000","UZK","Uzi","Active","024718510798","","UZK-FDR-024.jpg"
"UZK-FDR-025          ","EVN Stone Wash V, spring assist 5" Blade, blk G10 Handle","25.000000","12.500000","764.000000","UZK","Uzi","Active","024718510804","","UZK-FDR-025.jpg"
"UZK-FDR-026          ","EVN Stone Wash VI, 4.5" Blade, blk G10 Handle","25.000000","12.500000","694.000000","UZK","Uzi","Active","024718510811","","UZK-FDR-026.jpg"
"UZK-FDR-027          ","REINFORCER","25.000000","12.500000","1148.000000","UZK","Uzi","Active","024718512457","","UZK-FDR-027.jpg"
"UZK-FDR-028          ","SIDE RAIL","25.000000","12.500000","1005.000000","UZK","Uzi","Active","024718512464","","UZK-FDR-028.jpg"
"UZK-FDR-029          ","INCOGNITO","25.000000","12.500000","1130.000000","UZK","Uzi","Active","024718512471","","UZK-FDR-029.jpg"
"UZK-FDR-030          ","KELTON","25.000000","12.500000","1054.000000","UZK","Uzi","Active","024718512488","","UZK-FDR-030.jpg"
"UZK-FDR-031          ","PROBE","25.000000","12.500000","1143.000000","UZK","Uzi","Active"," 024718512495","","UZK-FDR-031.jpg"
"UZK-FXB-001          ","Covert Neck Knife, Black SS Blade, Blk Oxidated Alum. Handle","25.000000","12.500000","145.000000","UZK","Uzi","Active","024718926773","","UZK-FXB-001.jpg"
"UZK-FXB-002          ","UZI Field Commander Tactical Fixed Blade - Black","67.490000","33.750000","335.000000","UZK","Uzi","Active","024718926728","","uzk-fxb-002.jpg"
"UZK-FXB-004          ","UZI Stealth Commander II,Blk Fixed Serr SS blade, Alum Handle","67.490000","33.750000","948.000000","UZK","Uzi","Active","024718926735","","UZK-FXB-004.JPG"
"UZK-FXB-007          ","Mossad II, Blk and Silver Blade, G10 Handle with Nylon Sheath","40.000000","20.000000","588.000000","UZK","Uzi","Active","024718001135","","UZK-FXB-006.jpg"
"UZK-FXB-009          ","Shomer, stone washed blade, blk G10 handle, w/kydex sheath","50.000000","25.000000","856.000000","UZK","Uzi","Active","024718510774","","UZK-FXB-009lo.jpg"
"UZK-TRW-002          ","UZI Throwing Knives, large and small set","20.000000","10.000000","598.000000","UZK","Uzi","Active","024718926537","","UZK-TRW-002.JPG"
"UZK-TRW-003          ","UZI Throwing Knives Triple Set","22.000000","11.000000","708.000000","UZK","Uzi","Active","024718926544","","UZK-TRW-003.JPG"
"UZK-TRW-004          ","3 pack w/leather sheath","27.000000","13.500000","624.000000","UZK","Uzi","Active","024718510279","","UZK-TRW-004.jpg"
"UZK-TRW-005          ","3 pack w/color Ninja Style Wrist holster","27.000000","13.500000","752.000000","UZK","Uzi","Active","024718510286","","UZK-TRW-005.jpg"
"UZK-TRW-006          ","UZI Throwing knives black blade cord wrapped, w/LEG holster","50.000000","25.000000","550.000000","UZK","Uzi","Active","024718510750","","UZK-TRW-006-l.jpg"
"UZK-TRW-TZP          ","TZP Thrower 2 pc","23.000000","11.500000","904.000000","UZK","Uzi","Active","024718510910","","UZK-TRW-TZP.jpg"
